The bad promoter intervals were originally defined on the HG18 reference and
then transferred to the HG19 reference using the UCSC liftOver program
(http://genome.ucsc.edu/cgi-bin/hgLiftOver). They have been annotated with the
names of the genes whose transcription start sites (TSS) they overlap. If
multiple TSS assignments are possible, both are listed.

1:10270664-10270864 #KIF1B
2:98612254-98612454 #TMEM131
2:99061313-99061513 #INPP4A
2:99347489-99347689 #MGAT4A
3:10857817-10858017 #SLC6A11
3:11196114-11196314 #HRH1
3:113666648-113666848 #ZDHHC23
3:124774702-124774902 #HEG1
3:125687928-125688128 #ROPN1B
3:126076137-126076337 #KLF15
3:126194662-126194862 #ZXDC
3:127347939-127348139 #PODXL2
3:127391681-127391881 #ABTB1
3:127771112-127771312 #SEC61A1
3:128840519-128840719 #RAB43
3:129612303-129612503 #TMCC1
3:13008860-13009060 #IQSEC1
3:133969486-133969686 #RYK
3:13461709-13461909 #NUP210
3:135684467-135684667 #PPP2R3A
3:13921518-13921718 #WNT7A
3:141205826-141206026 #RASA2
3:141595370-141595570 #ATP1B3
3:14989136-14989336 #NR2C2
3:15247633-15247833 #CAPN7
3:171758286-171758486 #FNDC3B
3:182698226-182698426 #DCUN1D1
3:183873184-183873384 #DVL3
3:184097761-184097961 #CHRD
3:194354013-194354213 #TMEM44
3:195635780-195635980 #TNK2
3:196295625-196295825 #FBXO45
3:23986706-23986906 #NR1D2
3:37493713-37493913 #ITGA9
3:37903569-37903769 #CTDSPL
3:3841021-3841221 #LRRN1
3:38691063-38691263 #SCN5A
3:47620259-47620459 #CSPG5
3:48470772-48470972 #PLXNB1
3:50192748-50192948 #SEMA3F
3:50540792-50540992 #CACNA2D2
3:52001369-52001569 #PCBP4
3:52444427-52444627 #PHF7
3:53079181-53079381 #SFMBT1
3:54156593-54156793 #CACNA2D3
3:58477723-58477923 #KCTD6
3:63849497-63849697 #THOC7
3:64673265-64673465 #ADAMTS9
3:66550745-66550945 #LRIG1
3:71803101-71803301 #EIF4E3 GPR27
3:72937285-72937485 #GXYLT2
4:110354871-110355071 #1/2-SBSRNA4 SEC24B
4:1341004-1341204 #KIAA1530
4:159690082-159690282 #FNIP2
4:16228061-16228261 #TAPT1
4:166128691-166128891 #KLHL2
4:170192149-170192349 #SH3RF1
4:170947329-170947529 #MFAP3L
4:1713930-1714130 #SLBP
4:185570529-185570729 #CASP3
4:185747115-185747315 #ACSL1
4:1857874-1858074 #LETM1
4:187112574-187112774 #CYP4V2
4:187476437-187476637 #MTNR1A
4:187644887-187645087 #FAT1
4:22517572-22517772 #GPR125
4:24914480-24914680 #CCDC149
4:25032314-25032514 #LGI2
4:25235575-25235775 #PI4K2B
4:25864510-25864710 #SEL1L3
4:2757961-2758161 #TNIP2
4:2845484-2845684 #ADD1
4:38665690-38665890 #FLJ13197 KLF3
4:39046559-39046759 #KLHL5
4:40058424-40058624 #N4BP2
4:48343513-48343713 #SLAIN2
4:48485349-48485549 #SLC10A4
4:5894685-5894885 #CRMP1
4:6784359-6784559 #KIAA0232
4:6911395-6911595 #TBC1D14
4:7045056-7045256 #TADA2B
4:71570554-71570754 #RUFY3
4:7194274-7194474 #SORCS2
4:72052903-72053103 #SLC4A4
4:9360009-9360209 #USP17
4:99182427-99182627 #RAP1GDS1
4:99579627-99579827 #TSPAN5
5:10761287-10761487 #DAP
5:109025056-109025256 #MAN2A1
5:111754910-111755110 #EPB41L4A
5:121647720-121647920 #SNCAIP
5:127419383-127419583 #SLC12A2
5:132948123-132948323 #FSTL4
5:133340333-133340533 #VDAC1
5:134240710-134240910 #PCBD2
5:139175306-139175506 #PSD2
5:139493608-139493808 #PURA
5:139726088-139726288 #HBEGF
5:141257844-141258044 #PCDH1
5:14581832-14582032 #FAM105A
5:148033641-148033841 #HTR4
5:153570195-153570395 #GALNT10
5:154134789-154134989 #LARP1
5:16179797-16179997 #MARCH11
5:16936285-16936485 #MYO10
5:170846567-170846767 #FGF18
5:171710695-171710895 #UBTD2
5:175843440-175843640 #CLTB
5:176037031-176037231 #GPRIN1
5:176513821-176514021 #FGFR4
5:176730644-176730844 #RAB24
5:176873696-176873896 #PRR7
5:177540456-177540656 #N4BP3
5:180018387-180018587 #SCGB3A1
5:180076524-180076724 #FLT4
5:180632077-180632277 #TRIM7
5:34656418-34656618 #RAI14
5:38556648-38556848 #LIFR
5:39074401-39074601 #RICTOR
5:40798197-40798397 #PRKAA1
5:43557090-43557290 #PAIP1
5:45696120-45696320 #HCN1
5:53813493-53813693 #SNX18
5:60140001-60140201 #ELOVL7
5:63461571-63461771 #RNF180
5:72416302-72416502 #TMEM171
5:75699049-75699249 #IQGAP2
5:76506606-76506806 #PDE8B
5:77944548-77944748 #LHFPL2
5:79551770-79551970 #SERINC5
5:81267744-81267944 #ATG10
5:892815-893015 #BRD9
5:94620179-94620379 #MCTP1
6:105627770-105627970 #POPDC3
6:105850869-105851069 #PREP
6:11044524-11044724 #ELOVL2
6:117803720-117803920 #DCBLD1
6:119399712-119399912 #FAM184A
6:12012624-12012824 #HIVEP1
6:126070632-126070832 #HEY2
6:13711696-13711896 #RANBP9
6:138428487-138428687 #PERP
6:138483124-138483324 #KIAA1244
6:138725236-138725436 #HEBP2
6:144329441-144329641 #PLAGL1
6:146864728-146864928 #RAB32
6:158244194-158244394 #SNX9
6:158402819-158403019 #SYNJ2
6:159590329-159590529 #FNDC1
6:160114253-160114453 #SOD2
6:160148520-160148720 #WTAP
6:160390031-160390231 #IGF2R
6:16129217-16129417 #MYLIP
6:170124006-170124206 #PHF10
6:18264699-18264899 #DEK
6:2245746-2245946 #GMDS
6:2765566-2765766 #WRNIP1
6:3157683-3157883 #TUBB2A
6:3456693-3456893 #SLC22A23
6:37137886-37138086 #PIM1
6:43337081-43337281 #ZNF318
6:43423186-43423386 #DLK2
6:44191196-44191396 #SLC29A1
6:44191263-44191463 #SLC29A1
6:44265325-44265525 #TCTE1
6:4776583-4776783 #CDYL
6:56708363-56708563 #DST
6:56819673-56819873 #BEND6
6:71998377-71998577 #OGFRL1
6:76458809-76459009 #MYO6
6:99797431-99797631 #FAXC
7:102073896-102074096 #ORAI2
7:103629862-103630062 #RELN
7:105029241-105029441 #SRPK2
7:106685078-106685278 #PRKAR2B
7:127228417-127228617 #ARF5
7:128001639-128001839 #PRRT4
7:128470383-128470583 #FLNC
7:130418760-130418960 #KLF14
7:131241276-131241476 #PODXL
7:138916351-138916551 #UBN2
7:139208574-139208774 #CLEC2L
7:140624464-140624664 #BRAF
7:141401853-141402053 #KIAA1147
7:143059740-143059940 #FAM131B
7:150065779-150065979 #REPIN1
7:150497521-150497721 #TMEM176B
7:150652815-150653015 #KCNH2
7:150783726-150783926 #AGAP3
7:150864767-150864967 #GBX1
7:151329244-151329444 #PRKAG2
7:152132990-152133190 #MLL3
7:155089443-155089643 #INSIG1
7:156742317-156742517 #NOM1
7:16460847-16461047 #ISPD
7:22396433-22396633 #RAPGEF5
7:2443159-2443359 #CHST12
7:31092042-31092242 #ADCYAP1R1
7:33148902-33149102 #RP9
7:43798172-43798372 #BLVRA
7:44365124-44365324 #CAMK2B
7:44788430-44788630 #ZMIZ2
7:44924860-44925060 #PURB
7:45614025-45614225 #ADCY1
7:4721830-4722030 #FOXK1
7:4998744-4998944 #MMD2
7:56032196-56032396 #GBAS
7:6144450-6144650 #USP42
7:6414026-6414226 #RAC1
7:6629815-6630015 #C7orf26
7:73082074-73082274 #VPS37D
7:73498056-73498256 #LIMK1
7:73703705-73703905 #CLIP2
7:73868020-73868220 #GTF2IRD1
7:752033-752233 #PRKAR1B
7:7606516-7606716 #MIOS
7:82072931-82073131 #CACNA2D1
7:94139070-94139270 #CASD1
7:97910887-97911087 #BRI3
7:98246509-98246709 #NPTX2
7:98741623-98741823 #SMURF1
7:994189-994389 #ADAP1
8:107282373-107282573 #OXR1
8:110656951-110657151 #SYBU
8:11725546-11725746 #CTSB
8:120220510-120220710 #MAL2
8:12612892-12613092 #LONRF1
8:133492904-133493104 #KCNQ3
8:136469616-136469816 #KHDRBS3
8:141645545-141645745 #EIF2C2
8:142011232-142011432 #PTK2
8:143484439-143484639 #TSNARE1
8:143808521-143808721 #C8orf55
8:144099802-144100002 #LY6E
8:144241645-144241845 #LY6H
8:144349507-144349707 #GLI4
8:144450925-144451125 #RHPN1
8:144691644-144691844 #PYCRL
8:144815814-144816014 #FAM83H
8:145115484-145115684 #OPLAH
8:145515020-145515220 #BOP1
8:145515170-145515370 #HSF1
8:145582032-145582232 #FBXL6
8:145582125-145582325 #GPR172A
8:145743100-145743300 #RECQL4
8:146024161-146024361 #ZNF517
8:16884648-16884848 #EFHA2
8:17013931-17014131 #ZDHHC2
8:1921944-1922144 #KBTBD11
8:25042187-25042387 #DOCK5
8:26148934-26149134 #PPP2R2A
8:28559053-28559253 #EXTL3
8:37887920-37888120 #EIF4EBP1
8:48173442-48173642 #KIAA0146
8:63951286-63951486 #GGH
8:7309787-7309987 #SPAG11B
8:74005407-74005607 #C8orf84
8:74207237-74207437 #RDH10
8:86376031-86376231 #CA2
8:8751031-8751231 #MFHAS1
8:96145938-96146138 #PLEKHF2
8:99439150-99439350 #KCNS2
9:100954822-100955022 #CORO2A
9:101471379-101471579 #GABBR2
9:101867312-101867512 #TGFBR1
9:103189542-103189742 #C9orf30
9:103235617-103235817 #TMEFF1
9:108006829-108007029 #SLC44A1
9:110251947-110252147 #KLF4
9:112082921-112083121 #EPB41L4B
9:115095812-115096012 #PTBP3 MIR3134
9:115249148-115249348 #KIAA1958
9:115513034-115513234 #SNX30
9:116638462-116638662 #ZNF618
9:123476512-123476712 #MEGF9
9:126030743-126030943 #STRBP
9:129089028-129089228 #FAM125B
9:129622844-129623044 #ZBTB34
9:130331255-130331455 #FAM129B
9:131102740-131102940 #SLC27A4
9:131451409-131451609 #SET
9:132805373-132805573 #FNBP1
9:132934757-132934957 #NCS1
9:133710731-133710931 #ABL1
9:135996461-135996661 #RALGDS
9:136024488-136024688 #RALGDS
9:136932992-136933192 #BRD3
9:137533552-137533752 #COL5A1
9:138798905-138799105 #CAMSAP1
9:139334156-139334356 #INPP5E
9:139581811-139582011 #AGPAT2
9:139922640-139922840 #C9orf139 ABCA2
9:140033509-140033709 #GRIN1
9:140149659-140149859 #COBRA1
9:140317614-140317814 #EXD3
9:140317747-140317947 #NOXA1
9:140772141-140772341 #CACNA1B
9:17579094-17579294 #SH3GL2
9:34522937-34523137 #ENHO
9:34958092-34958292 #KIAA1045
9:35605181-35605381 #TESK1
9:36136642-36136842 #GLIPR2
9:38069110-38069310 #SHB
9:4741127-4741327 #AK3
9:4985145-4985345 #JAK2
9:504603-504803 #KANK1
9:72287175-72287375 #APBA1
9:88714402-88714602 #GOLM1
9:91003197-91003397 #SPIN1
9:94186044-94186244 #NFIL3
9:96717508-96717708 #BARX1
9:976864-977064 #DMRT3
10:101769576-101769776 #DNMBP
10:103825047-103825247 #HPS6
10:108924192-108924392 #SORCS1
10:116853024-116853224 #ATRNL1
10:11865297-11865497 #C10orf47
10:119000616-119000816 #SLC18A2
10:120967097-120967297 #GRK5
10:121410782-121410982 #BAG3
10:121632294-121632494 #MCMBP
10:12171598-12171798 #SEC61A2
10:123357872-123358072 #FGFR2
10:124134120-124134320 #PLEKHA1
10:129924555-129924755 #MKI67
10:13043604-13043804 #CCDC3
10:13390180-13390380 #SEPHS1
10:135122323-135122523 #TUBGCP2 ZNF511
10:135122544-135122744 #TUBGCP2 ZNF511
10:15210595-15210795 #NMT2
10:17496154-17496354 #ST8SIA6
10:21823002-21823202 #MLLT10
10:22634299-22634499 #SPAG6
10:23003403-23003603 #PIP4K2A
10:3214903-3215103 #PITRM1
10:32217670-32217870 #ARHGAP12
10:33246722-33246922 #ITGB1
10:35625702-35625902 #CCNY
10:43633834-43634034 #CSGALNACT2
10:43762267-43762467 #RASGEF1A
10:50323459-50323659 #VSTM4
10:65281023-65281223 #REEP3
10:69644327-69644527 #SIRT1
10:70587281-70587481 #STOX1
10:70587499-70587699 #STOX1
10:71078503-71078703 #HK1
10:72238464-72238664 #KIAA1274
10:72432459-72432659 #ADAMTS14
10:72972249-72972449 #UNC5B
10:79686248-79686448 #DLG5
10:86088310-86088510 #FAM190B
10:88516296-88516496 #BMPR1A
10:92617571-92617771 #HTR7
10:95360893-95361093 #RBP4
10:97050681-97050881 #PDLIM1
10:98346709-98346909 #TM9SF3
10:98592637-98592837 #LCOR
10:99185927-99186127 #PGAM1
10:99258668-99258868 #UBTD1
11:10315654-10315854 #SBF2
11:109963987-109964187 #ZC3H12C
11:111847933-111848133 #DIXDC1
11:113345901-113346101 #DRD2
11:113746156-113746356 #USP28
11:119076890-119077090 #CBL
11:12132038-12132238 #MICAL2
11:13299225-13299425 #ARNTL
11:1330739-1330939 #TOLLIP LOC255512
11:134281712-134281912 #B3GAT1
11:1785122-1785322 #MOB2 CTSD
11:2398447-2398647 #CD81
11:3186440-3186640 #OSBPL5
11:32914692-32914892 #QSER1
11:46939976-46940176 #LRP4
11:47429951-47430151 #SLC39A13
11:47587029-47587229 #PTPMT1
11:47663964-47664164 #MTCH2
11:58939712-58939912 #DTX4
11:60928816-60929016 #VPS37C
11:61348198-61348398 #SYT7
11:61447810-61448010 #DAGLA
11:637205-637405 #DRD4
11:64002166-64002366 #VEGFB
11:6495105-6495305 #TRIM3
11:65292448-65292648 #SCYL1
11:65430275-65430475 #RELA
11:65837724-65837924 #PACS1
11:6676974-6677174 #DCHS1
11:67183049-67183249 #CARNS1
11:67210883-67211083 #CORO1B
11:67888758-67888958 #CHKA
11:68080008-68080208 #LRP5
11:70116723-70116923 #PPFIA1
11:70244512-70244712 #CTTN
11:70244544-70244744 #CTTN
11:73087613-73087813 #RELT
11:75141133-75141333 #KLHL35
11:75917474-75917674 #WNT11
11:76381691-76381891 #LRRC32
11:76777892-76778092 #CAPN5
11:805145-805345 #PIDD
11:8102809-8103009 #TUB
11:86511391-86511591 #PRSS23
11:86666333-86666533 #FZD4
11:925741-925941 #AP2A2
12:102224532-102224732 #GNPTAB
12:104234875-104235075 #NT5DC3
12:106641613-106641813 #CKAP4
12:107349605-107349805 #C12orf23
12:109251251-109251451 #SSH1
12:1100304-1100504 #ERC1
12:110718932-110719132 #ATP2A2
12:111471729-111471929 #CUX2
12:116715043-116715243 #MED13L
12:117319132-117319332 #HRK
12:120427548-120427748 #CCDC64
12:120703463-120703663 #PXN
12:120806858-120807058 #MSI1
12:121734405-121734605 #CAMKK2
12:122907016-122907216 #CLIP1
12:123319939-123320139 #HIP1R
12:124018165-124018365 #RILPL1
12:124457063-124457263 #CCDC92
12:124457570-124457770 #ZNF664 ZNF664-FAM101A
12:125549825-125550025 #AACS
12:129337981-129338181 #GLT1D1
12:130388112-130388312 #TMEM132D
12:131356468-131356668 #RAN
12:132434408-132434608 #EP400
12:132628780-132628980 #DDX51
12:133195303-133195503 #P2RX2
12:133287336-133287536 #PGAM5
12:19592508-19592708 #AEBP2
12:26111869-26112069 #LOC100506451 RASSF8
12:27933087-27933287 #KLHDC5
12:3068396-3068596 #TEAD4
12:31743852-31744052 #DENND5B
12:33049680-33049880 #PKP2
12:39836818-39837018 #KIF21A
12:40499561-40499761 #SLC2A13
12:42983378-42983578 #PRICKLE1
12:50451387-50451587 #ASIC1
12:51611377-51611577 #POU6F1
12:51984920-51985120 #SCN8A
12:52345386-52345586 #ACVR1B
12:52400648-52400848 #GRASP
12:56583251-56583451 #SMARCC2
12:56652043-56652243 #ANKRD52
12:569443-569643 #B4GALNT3
12:57610478-57610678 #NXPH4
12:68042412-68042612 #DYRK2
12:6809712-6809912 #C12orf53
12:69004552-69004752 #RAP1B
12:69004596-69004796 #RAP1B
12:70759962-70760162 #KCNMB4
12:862125-862325 #WNK1
12:8850418-8850618 #RIMKLB
12:95044224-95044424 #TMCC3
13:110959531-110959731 #COL4A2
13:111805961-111806161 #ARHGEF7
13:20767014-20767214 #GJB2
13:24153539-24153739 #TNFRSF19
13:27745929-27746129 #USP12
13:30169621-30169821 #SLC7A1
13:31774012-31774212 #B3GALTL
13:44947878-44948078 #SERP2
13:51796407-51796607 #FAM124A
13:73633042-73633242 #KLF5
13:78272370-78272570 #SLAIN1
13:79177595-79177795 #POU4F1
13:95953587-95953787 #ABCC4
13:96742993-96743193 #HS6ST3
13:99229296-99229496 #STK24
13:99404808-99405008 #SLC15A1
14:100259645-100259845 #EML1
14:101193153-101193353 #DLK1
14:102553412-102553612 #HSP90AA1
14:105487393-105487593 #CDCA4
14:105767229-105767429 #BRF1 PACS2
14:23526647-23526847 #CDH24
14:24867892-24868092 #NYNRIN
14:32546395-32546595 #ARHGAP5
14:35183806-35184006 #CFL2
14:35515510-35515710 #FAM177A1
14:38064389-38064589 #FOXA1
14:51134923-51135123 #SAV1
14:51297739-51297939 #NIN
14:51338778-51338978 #ABHD12B
14:53162319-53162519 #ERO1L
14:60715866-60716066 #PPM1A
14:67981921-67982121 #TMEM229B
14:67999908-68000108 #PLEKHH1
14:71275788-71275988 #MAP3K9
14:74253796-74253996 #C14orf43
14:77228135-77228335 #VASH1
14:89021023-89021223 #PTPN21
14:91282661-91282861 #TTC7B
14:92302749-92302949 #TC2N
14:92980025-92980225 #RIN3
14:93651275-93651475 #C14orf109
14:94640549-94640749 #PPP4R4
14:95623659-95623859 #DICER1
14:99947126-99947326 #SETD3
15:23086336-23086536 #NIPA1
15:26108249-26108449 #ATP10A
15:27216417-27216617 #GABRG3
15:29862827-29863027 #FAM189A1
15:33010105-33010305 #GREM1
15:41136146-41136346 #SPINT1
15:43910898-43911098 #STRC
15:44038490-44038690 #PDIA3 CATSPER2P1
15:52821147-52821347 #MYO5A
15:57668605-57668805 #CGNL1
15:60884607-60884807 #RORA
15:64338421-64338621 #DAPK2
15:65670278-65670478 #IGDCC3
15:68521925-68522125 #CLN6
15:68871473-68871673 #CORO2B
15:71146398-71146598 #LARP6
15:78369894-78370094 #TBC1D2B
15:78556889-78557089 #DNAJA4
15:80696592-80696792 #ARNT2
15:80987552-80987752 #FAM108C1
15:83876221-83876421 #HDGFRP3
15:83953368-83953568 #BNC1
15:84322738-84322938 #ADAMTSL3
15:85291718-85291918 #ZNF592
15:85525105-85525305 #PDE8A
15:90357972-90358172 #ANPEP
15:91073098-91073298 #CRTC3
15:91427609-91427809 #FES
16:11036157-11036357 #DEXI
16:122529-122729 #RHBDF1
16:128069-128269 #MPG
16:1359538-1359738 #UBE2I
16:1401832-1402032 #C16orf42 GNPTG
16:1429581-1429781 #UNKL
16:1543322-1543522 #TELO2
16:2034050-2034250 #GFER
16:2059663-2059863 #ZNF598
16:2185799-2185999 #PKD1 MIR3180-5
16:25703247-25703447 #HS3ST4
16:28223090-28223290 #XPO6
16:2827197-2827397 #TCEB2
16:28303740-28303940 #SBK1
16:30107421-30107621 #YPEL3
16:3030374-3030574 #PKMYT1
16:30381422-30381622 #TBC1D10B
16:30537810-30538010 #ZNF768
16:30905299-30905499 #BCL7C MIR762
16:3661485-3661685 #SLX4
16:3767498-3767698 #TRAP1
16:3930021-3930221 #CREBBP
16:431850-432050 #TMEM8A
16:47177808-47178008 #NETO2
16:4897203-4897403 #GLYR1
16:50402729-50402929 #BRD7
16:50582141-50582341 #NKD1
16:52580706-52580906 #TOX3
16:56225151-56225351 #GNAO1
16:56459344-56459544 #AMFR
16:57126410-57126610 #CPNE2
16:57570377-57570577 #CCDC102A
16:58231682-58231882 #CSNK2A2
16:58497449-58497649 #NDRG4
16:619904-620104 #PIGQ
16:640079-640279 #RAB40C
16:66730510-66730710 #CMTM4
16:67062950-67063150 #CBFB
16:67313389-67313589 #PLEKHG4
16:67313392-67313592 #PLEKHG4
16:67596364-67596564 #CTCF
16:68298323-68298523 #SLC7A6
16:699263-699463 #WDR90
16:70719854-70720054 #MTSS1L
16:718033-718233 #RHOT2
16:75285403-75285603 #BCAR1
16:80838075-80838275 #CDYL2
16:81812830-81813030 #PLCG2
16:83932630-83932830 #MLYCD
16:84651569-84651769 #COTL1
16:84733455-84733655 #USP10
16:85784589-85784789 #C16orf74
16:85833000-85833200 #COX4I1 COX4NB
16:85833096-85833296 #COX4I1 COX4NB
16:87417263-87417463 #FBXO31
16:87903000-87903200 #SLC7A5
16:89574705-89574905 #SPG7
16:89787293-89787493 #C16orf7 ZNF276
16:89787294-89787494 #C16orf7 ZNF276
16:89894807-89895007 #SPIRE2
16:90085837-90086037 #DBNDD1
16:9057241-9057441 #USP7
17:10101768-10101968 #GAS7
17:1359444-1359644 #CRK
17:1419854-1420054 #INPP5K
17:1466010-1466210 #PITPNA
17:1619405-1619605 #MIR22HG
17:16395380-16395580 #FAM211A
17:1733173-1733373 #SMYD4 RPA1
17:17584687-17584887 #RAI1
17:18128836-18129036 #LLGL1
17:19771130-19771330 #ULK2
17:2240578-2240778 #TSR1
17:2240706-2240906 #SGSM2
17:2240708-2240908 #SGSM2
17:2496823-2497023 #PAFAH1B1
17:2614827-2615027 #KIAA0664
17:27507307-27507507 #MYO18A
17:27916510-27916710 #GIT1
17:27920427-27920627 #ANKRD13B
17:30186156-30186356 #C17orf79
17:30593095-30593295 #RHBDL3
17:30814005-30814205 #CDK5R1
17:33416194-33416394 #RFFL RAD51L3-RFFL
17:36831087-36831287 #C17orf96
17:37307672-37307872 #PLXDC1
17:40428324-40428524 #STAT5B
17:41910438-41910638 #MPP3
17:42907507-42907707 #GJC1
17:43128878-43129078 #DCAKD
17:43299192-43299392 #FMNL1
17:4487734-4487934 #SMTNL2
17:4710321-4710521 #PLD2
17:4736583-4736783 #MINK1
17:48207067-48207267 #SAMD14
17:48585712-48585912 #MYCBPAP
17:5185458-5185658 #RABEP1
17:53499241-53499441 #MMD
17:56160699-56160899 #DYNLL2
17:57408953-57409153 #YPEL2
17:5973834-5974034 #WSCD1
17:60556286-60556486 #TLK2
17:61523445-61523645 #CYB561
17:62207402-62207602 #ERN1
17:62658286-62658486 #SMURF2
17:6459777-6459977 #PITPNM3
17:65989665-65989865 #C17orf58
17:66244045-66244245 #AMZ2
17:7197776-7197976 #YBX2
17:72744684-72744884 #SLC9A3R1 MIR3615
17:73267203-73267403 #LOC100287042 MIF4GD
17:73521683-73521883 #LLGL2
17:73717416-73717616 #ITGB4
17:73892954-73893154 #TRIM65
